REGION,SEX_C2,AGE_C7,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X99
7,Male,5,1725.00,821.00,1383.00,2448.00,3461.00,2930.00,4563.00,3246.00,14578.00,2432.00,3661.00,1973.00,16534.00,213.00,1070.00,1298.00,1053.00,2673.00,593.00,1535.00
7,Male,6,2420.00,1122.00,1796.00,3142.00,3559.00,2299.00,5260.00,1802.00,6836.00,1467.00,2577.00,1176.00,7552.00,156.00,563.00,795.00,1011.00,2236.00,421.00,1335.00
7,Male,7,6144.00,1899.00,2584.00,3962.00,3661.00,1715.00,4940.00,709.00,2395.00,831.00,1525.00,703.00,3562.00,76.00,320.00,405.00,459.00,1214.00,192.00,1264.00
7,Female,1,330.00,50.00,47.00,42.00,202.00,114.00,213.00,316.00,1380.00,786.00,1411.00,810.00,14887.00,2630.00,5188.00,4321.00,2426.00,1765.00,19.00,1195.00
7,Female,2,386.00,47.00,59.00,58.00,242.00,157.00,323.00,390.00,2107.00,890.00,1584.00,959.00,15442.00,917.00,2665.00,3643.00,2863.00,6878.00,378.00,870.00
7,Female,3,728.00,158.00,275.00,375.00,933.00,860.00,1569.00,1347.00,6685.00,1497.00,3387.00,1548.00,29096.00,861.00,2911.00,4224.00,3173.00,9401.00,1290.00,1254.00
7,Female,4,1066.00,394.00,597.00,966.00,1906.00,2059.00,3802.00,2936.00,11654.00,2161.00,4051.00,2033.00,25987.00,514.00,2193.00,2950.00,1718.00,4775.00,760.00,1372.00
7,Female,5,1581.00,713.00,1184.00,2186.00,3372.00,3360.00,5121.00,3689.00,12285.00,2329.00,4019.00,2191.00,19752.00,401.00,1537.00,1597.00,1503.00,2811.00,498.00,1562.00
7,Female,6,2571.00,1124.00,1878.00,3313.00,3704.00,2786.00,5830.00,1832.00,5375.00,1647.00,2837.00,1587.00,8193.00,198.00,721.00,890.00,1232.00,2466.00,273.00,1409.00
7,Female,7,7044.00,1873.00,3015.00,4966.00,4762.00,2294.00,6660.00,859.00,2795.00,1237.00,1953.00,849.00,4342.00,85.00,362.00,385.00,570.00,1232.00,85.00,1721.00
16,Male,1,215.00,18.00,24.00,40.00,91.00,65.00,163.00,173.00,916.00,362.00,714.00,392.00,6303.00,1025.00,1843.00,1425.00,991.00,649.00,12.00,495.00
16,Male,2,213.00,37.00,31.00,37.00,96.00,85.00,180.00,172.00,1292.00,428.00,810.00,409.00,6322.00,346.00,952.00,1008.00,1179.00,2362.00,114.00,391.00
16,Male,3,398.00,85.00,147.00,241.00,422.00,375.00,605.00,478.00,3548.00,744.00,1490.00,715.00,11157.00,312.00,1081.00,1243.00,1446.00,3225.00,463.00,576.00
16,Male,4,539.00,239.00,341.00,541.00,868.00,900.00,1644.00,1097.00,6351.00,1105.00,1734.00,907.00,9938.00,171.00,728.00,1020.00,872.00,1936.00,420.00,655.00
16,Male,5,707.00,378.00,592.00,1124.00,1535.00,1224.00,2466.00,1543.00,6835.00,1252.00,1723.00,925.00,8001.00,117.00,542.00,641.00,537.00,1370.00,259.00,715.00
16,Male,6,973.00,517.00,835.00,1361.00,1624.00,1138.00,2852.00,811.00,3338.00,637.00,1405.00,572.00,3115.00,78.00,307.00,412.00,503.00,1179.00,205.00,594.00
16,Male,7,2857.00,1021.00,1377.00,2024.00,1815.00,840.00,2666.00,326.00,1219.00,386.00,813.00,355.00,1661.00,31.00,173.00,209.00,258.00,692.00,104.00,666.00
16,Female,1,121.00,19.00,16.00,25.00,66.00,36.00,82.00,116.00,500.00,326.00,592.00,360.00,5883.00,1247.00,2557.00,2071.00,1391.00,1022.00,11.00,446.00
16,Female,2,178.00,11.00,26.00,23.00,89.00,42.00,135.00,151.00,803.00,321.00,658.00,375.00,6325.00,444.00,1221.00,1562.00,1519.00,3331.00,169.00,335.00
16,Female,3,344.00,68.00,117.00,155.00,321.00,341.00,710.00,607.00,2913.00,684.00,1344.00,698.00,12784.00,437.00,1531.00,1853.00,1916.00,4356.00,545.00,518.00
16,Female,4,486.00,199.00,271.00,457.00,837.00,888.00,2071.00,1292.00,5337.00,1031.00,1775.00,955.00,12403.00,317.00,1320.00,1542.00,986.00,2218.00,406.00,653.00
16,Female,5,660.00,334.00,565.00,996.00,1403.00,1487.00,2955.00,1712.00,5670.00,1216.00,1798.00,1044.00,9228.00,287.00,881.00,864.00,628.00,1351.00,254.00,755.00
16,Female,6,1039.00,549.00,847.00,1666.00,1746.00,1344.00,3195.00,843.00,2569.00,785.00,1466.00,867.00,3627.00,129.00,355.00,450.00,640.00,1315.00,126.00,647.00
16,Female,7,3385.00,1103.00,1727.00,2739.00,2427.00,1288.00,3604.00,493.00,1361.00,633.00,1034.00,445.00,2170.00,69.00,203.00,201.00,264.00,720.00,53.00,891.00
8,Male,1,591.00,52.00,49.00,78.00,269.00,205.00,319.00,442.00,2457.00,1388.00,2642.00,1294.00,20828.00,5473.00,9341.00,7167.00,4570.00,2873.00,65.00,1634.00
